run,sim_minute,hour_of_day,zone_temp_c,outdoor_temp_c,occupancy_fraction,pmv,cooling_setpoint,heating_setpoint,fan_flow_fraction,instantaneous_kw,cumulative_kwh
baseline,15,0.25,22.05,23.01,0.05,-0.14,26.0,16.0,1.0,0.75,0.188
baseline,30,0.5,22.09,23.05,0.05,-0.13,26.0,16.0,1.0,0.75,0.375
baseline,45,0.75,22.16,23.12,0.05,-0.11,26.0,16.0,1.0,0.75,0.562
baseline,60,1.0,22.2,23.2,0.05,-0.1,26.0,16.0,1.0,0.75,0.75
baseline,75,1.25,22.26,23.32,0.05,-0.08,26.0,16.0,1.0,0.75,0.938
baseline,90,1.5,22.32,23.46,0.05,-0.06,26.0,16.0,1.0,0.75,1.125
baseline,105,1.75,22.37,23.62,0.05,-0.04,26.0,16.0,1.0,0.75,1.312
baseline,120,2.0,22.44,23.8,0.05,-0.02,26.0,16.0,1.0,0.75,1.5
baseline,135,2.25,22.5,24.01,0.05,-0.0,26.0,16.0,1.0,0.75,1.688
baseline,150,2.5,22.58,24.24,0.05,0.03,26.0,16.0,1.0,0.75,1.875
baseline,165,2.75,22.65,24.49,0.05,0.05,26.0,16.0,1.0,0.75,2.062
baseline,180,3.0,22.73,24.76,0.05,0.07,26.0,16.0,1.0,0.75,2.25
baseline,195,3.25,22.84,25.04,0.05,0.11,26.0,16.0,1.0,0.75,2.438
baseline,210,3.5,22.99,25.35,0.05,0.16,26.0,16.0,1.0,0.75,2.625
baseline,225,3.75,23.1,25.67,0.05,0.19,26.0,16.0,1.0,0.75,2.812
baseline,240,4.0,23.22,26.0,0.05,0.23,26.0,16.0,1.0,0.75,3.0
baseline,255,4.25,23.38,26.35,0.05,0.28,26.0,16.0,1.0,0.75,3.188
baseline,270,4.5,23.57,26.7,0.05,0.34,26.0,16.0,1.0,0.75,3.375
baseline,285,4.75,23.75,27.07,0.05,0.4,26.0,16.0,1.0,0.75,3.562
baseline,300,5.0,23.92,27.45,0.05,0.46,26.0,16.0,1.0,0.75,3.75
baseline,315,5.25,24.14,27.83,0.05,0.53,26.0,16.0,1.0,0.75,3.938
baseline,330,5.5,24.32,28.22,0.05,0.58,26.0,16.0,1.0,0.75,4.125
baseline,345,5.75,24.55,28.61,0.05,0.66,26.0,16.0,1.0,0.75,4.312
baseline,360,6.0,24.75,29.0,0.05,0.72,26.0,16.0,1.0,0.75,4.5
baseline,375,6.25,24.96,29.39,0.05,0.79,26.0,16.0,1.0,0.75,4.688
baseline,390,6.5,25.17,29.78,0.05,0.86,26.0,16.0,1.0,0.75,4.875
baseline,405,6.75,25.41,30.17,0.05,0.93,26.0,16.0,1.0,0.75,5.062
baseline,420,7.0,25.68,30.55,0.05,1.02,26.0,16.0,1.0,0.75,5.25
baseline,435,7.25,25.92,30.93,0.05,1.09,26.0,16.0,1.0,0.75,5.438
baseline,450,7.5,26.19,31.3,0.05,1.18,26.0,16.0,1.0,0.75,5.625
baseline,465,7.75,26.33,31.65,0.05,1.23,26.0,16.0,1.0,1.422,5.98
baseline,480,8.0,26.36,32.0,1.0,1.24,26.0,16.0,1.0,1.904,6.456
baseline,495,8.25,25.64,32.33,1.0,1.0,23.0,21.0,1.0,6.75,8.144
baseline,510,8.5,24.94,32.65,1.0,0.78,23.0,21.0,1.0,6.75,9.831
baseline,525,8.75,24.29,32.96,1.0,0.57,23.0,21.0,1.0,6.75,11.519
baseline,540,9.0,24.01,33.24,1.0,0.48,23.0,21.0,1.0,5.26,12.834
baseline,555,9.25,24.0,33.51,1.0,0.48,23.0,21.0,1.0,4.29,13.906
baseline,570,9.5,23.99,33.76,1.0,0.48,23.0,21.0,1.0,4.236,14.965
baseline,585,9.75,24.0,33.99,1.0,0.48,23.0,21.0,1.0,4.219,16.02
baseline,600,10.0,24.02,34.2,1.0,0.49,23.0,21.0,1.0,4.236,17.079
baseline,615,10.25,24.03,34.38,1.0,0.49,23.0,21.0,1.0,4.337,18.163
baseline,630,10.5,24.04,34.54,1.0,0.49,23.0,21.0,1.0,4.367,19.255
baseline,645,10.75,24.07,34.68,1.0,0.5,23.0,21.0,1.0,4.374,20.349
baseline,660,11.0,24.08,34.8,1.0,0.51,23.0,21.0,1.0,4.508,21.476
baseline,675,11.25,24.06,34.88,1.0,0.5,23.0,21.0,1.0,4.541,22.611
baseline,690,11.5,24.08,34.95,1.0,0.51,23.0,21.0,1.0,4.472,23.729
baseline,705,11.75,24.09,34.99,1.0,0.51,23.0,21.0,1.0,4.543,24.865
